latitude,score,label,color,weight
33,83631.1,Latitude: 33 Value: 83631.1,#9E0041,0.5
33.5,77335,Latitude: 33.5 Value: 77335,#C32F4B,0.5
34,87101.9,Latitude: 34 Value: 87101.9,#E1514B,0.5
34.5,89161.5,Latitude: 34.5 Value: 89161.5,#F47245,0.5
35,81217.1,Latitude: 35 Value: 81217.1,#FB9F59,0.5
35.5,68320.7,Latitude: 35.5 Value: 68320.7,#FEC574,0.5
36,71395.3,Latitude: 36 Value: 71395.3,#FAE38C,0.5
36.5,69450.8,Latitude: 36.5 Value: 69450.8,#EAF195,0.5
37,70483,Latitude: 37 Value: 70483,#C7E89E,0.5
37.5,78463.9,Latitude: 37.5 Value: 78463.9,#9CD6A4,0.5
38,84421.1,Latitude: 38 Value: 84421.1,#6CC4A4,0.5
38.5,86480.2,Latitude: 38.5 Value: 86480.2,#4D9DB4,0.5
39,83109.2,Latitude: 39 Value: 83109.2,#4776B4,0.5
39.5,77159.2,Latitude: 39.5 Value: 77159.2,#5E4EA1,0.5
40,76051,Latitude: 40 Value: 76051,#39D7CA,0.5
40.5,73432.7,Latitude: 40.5 Value: 73432.7,#4FECB3,0.5
41,79208.6,Latitude: 41 Value: 79208.6,#FBF775,0.5
41.5,67948.3,Latitude: 41.5 Value: 67948.3,#DD5064,0.5
42,67245,Latitude: 42 Value: 67245,#F1856B,0.5
42.5,53500,Latitude: 42.5 Value: 53500,#A0B0C0,0.5